headline,is_spam
"In other words #katandandre, your food was crapilicious! #mkr",0
Why is #aussietv so white? #MKR #theblock #ImACelebrityAU #today #sunrise #studio10 #Neighbours #WonderlandTen #etc,0
@XochitlSuckkks a classy whore? Or more red velvet cupcakes?,0
"@Jason_Gio meh. :P  thanks for the heads up, but not too concerned about another angry dude on twitter.",0
"@RudhoeEnglish This is an ISIS account pretending to be a Kurdish account.  Like Islam, it is all lies.",0
"@Raja5aab @Quickieleaks Yes, the test of god is that good or bad or indifferent or weird or whatever, it all proves gods existence.",0
Itu sekolah ya bukan tempat bully! Ga jauh kaya neraka,0
Karma. I hope it bites Kat on the butt. She is just nasty. #mkr,0
@stockputout everything but mostly my priest,0
Rebecca Black Drops Out of School Due to Bullying:,0
@Jord_Is_Dead http://t.co/UsQInYW5Gn,0
The Bully flushes on KD http://twitvid.com/A2TNP,0
Ughhhh #MKR,0
RT @Kurdsnews: Turkish state has killed 241 children in last 11 years http://t.co/JlvkE1epws  #news  ##GoogleÇeviriciTopluluğuKürtçeyideE…,0
"Love that the best response to the hotcakes they man4d to film was a non-committal ""meh"" from some adolescent. #MKR",0
@yasmimcaci @Bferrarii PAREM DE FAZER BULLYING COMIGO =( UHAHUAH BANDO DE PRETO,0
"@sarinhacoral @Victor_Maggi tadinhu de mim , sofrendo bulling viu MIMI'",0
@0xabad1dea @kelseytheodore2 twitter is basically the angry letters of our generation.,0
"Best pick up line? Hi, you're cute... ?: I love how people call James Potter is a bully. - mypatronusisyou: http://tumblr.com/xol3xl14zy",0
Now I gotta walk to classss?! I officially hate the stupid bus system! -_-,0
@halalcunty @biebervalue @liamxkiwi @greenlinerzjm @halalflaws I know Saudis chased girls into a burning building. http://t.co/8b1AclczN9,0
Kids Love😘❤ @ Mohamad Bin Zayed City مدينة محمد بن زايد http://t.co/0xrOZSNn,0
"I still have Jack, Amsterdam, Ciroc, Crown, Bud Light, Lime-a-rita, and CRU in my love handles. I feel the jiggle when I walk...",0
"@scottyswaggod men are the ones that are going to push the real change. they are the ones in power, generally. we need their help.",0
Wishing my arena partner was on. &gt;.&gt;  Really want to get some PvP happening.,0
Education Nation: Bullying | Turn to 10 http://t.co/sxTIWtp,0
@sand_dejesus Isso é bullying! @O_Patriarca,0
@gcarothers eek. i can't stand split keyboards. doesn't work well with MMOs.,0
@MaxBlumenthal @cpassevant @anadumitrescu13 Post-Hebdo? LOL. Events like it are a daily occurrence around the world. Why isolate one.,0
You know there are people out there who like @joeyBADASS_ but don't listen to old school.,0
@Firebomb173 @ANDAASONSAN not the first time it's happened. That was probably the worst though.,0
@KamilaaRudenko how are u ?,0
"The contact form on the site was bugged. Turns out that if you use a ']' in the email subject prefix, it breaks everything. silly wordpress.",0
"The thing about Uber is, even if it wasn't a horrible, sexist, shitty company, I would still be against it.",0
I think @bxokrissy third period teacher doesn't like me he always tells me to go to class when I walk u to class,0
@andythewookie1 what's that quote about jacking off with one hand and pointing with the other?,0
"I hope this round humbled the girls, they can't cook #MKR",0
@MelissaRyan Look at what DC Public Schools are doing for bullying LGBT students now that @m_rhee is gone. http://t.co/ZegLmS7,0
Really miss my classmates n schoolmates. See you all soon people,0
Fuck. #MKR,0
#mkr Promo girls are going to BRING IT in the next round. Yeah! Bring it! Bring your store bought capsicums!,0
Hey Ma in the orange skirt,0
Fuck this paper bullshit,0
Elephants??? Direct them to #cuntandandre,0
Film ini salah satu potret bullying dikalangan anak2 #mynameiskhan,0
#NowWatching a Charlie Brown Thanksgiving #classic,0
Let's talk about what it means to be a victim. http://t.co/FInA7zfTTT,0
"@MileyCyrus @JuliaAllynn no, you are ahhhhhmazing! &lt;3",0
"@janaane poise, odiei aquilo ele sofria bullying de meninas porisso matou muitas meninas, mais mesmo assim aquelas crianças nao tinham culpa",0
no one ever help.me like my bully @AlwaysVero_ did /:,0
"@Giia_marengo le hace bulling a @Karol__Dance por que se ""gana"" en todos lados jajajaj y dice que los washiturros NO son flaites jajaj WENA",0
#Kerala RTE will lead to shutting down of 'Badal' schools in backward areas &amp; parents will mostly not allow them to join far away schools.,0
"If you are feeling perturbed about women that aren't humble, kindly go set yourself on fire.",0
You look like a gypsy. Sorry I'm not sorry.,0
"Oh hey, you should be ashamed of your disgusting self. @TheMajesticPlum http://t.co/B4obsliTUg",0
BULLSHIT!!!! #MKR #MKR2015,0
"@hayhenning good news, if i ever have a problem with a big mean bully, i know who to call!",0
I'm done - won't bother with the rest of this pathetic shit show #mkr,0
"@GlennF @Spacekatgal it is rather funny how all of us are so completely different, yet complement each other's skill sets so well.",0
"@sbrew11 If you hadn't noticed, I save my witty replies for sexists with a little more panache. I don't want to get above your reading level",0
"@nader_haq @MadDr11 Yeap, breeding and violence are the only thing they do well.",0
@SirajZarook @BilalIGhumman @OdiniaInvictus @IsraeliRegime A. I don't have a faith. B. Your tweet is incoherent.,0
Lil bro @Mackmanee_15 was on the bully last night,0
@Bahai144 ROFLMAO.  So all this time I've been trying to squeeze logic out of a religious nut that is as crazy as ISIS.,0
"@jaredchase i kept being the last person alive AND topping damage. it's like, what. this isn't hard.",0
Follow News Reports Of #BrandonMcInerney Shooting Death Of #LarryKing Trial http://t.co/WgrutwF #Gay #GLBT #LGBT #Bullying #Murder,0
"@CarSalesBossMan Unlike men, who can't fix cars because they can't fit their giant fucking swelled heads under them.",0
RT @Hanar_Marouf: Daesh is distrbuting Stolen U.N. Humanitarian Aid W/ Its Own Logo!! #Iraq #twitterkurds http://t.co/kSkGLrh1jt http://t.c…,0
@TURBOCUNT i have no idea what red bean tastes like. i'm assuming it tastes like beans? i'm not really down with beans.,0
Wait so are we voting again when we come back to school ?,0
The worst hoe is a hoe who can't admit she was a hoe.!,0
"RT @srhbutts: CEO of sony europe vehemently, unequivocally condemns #gamergate as misogynistic harassment. http://t.co/0M07MuT5AY",0
even alle bully beatdown afleveringen gedownload van season 1 en 2 :),0
"How can you sleep with make-up? Like ew, your skin will be so oily the next day.",0
freaky ass ready ass hoes,0
@jukes303 The old oil cliche again. The US pays for every drop of oil they get from the ME on the open market just like every other country.,0
Is Colin hot? #MKR,0
aposto que vou sofrer bullying depois do meu próximo tweet,0
RT @BliggiVee: Round and round we go where it stops nobody knows. How much more will this drag on?!? #MKR,0
First social test of the year...,0
@iMrBarfield it starts Thursday. My classes are canceled for tomorrow tho😌.,0
Me my self and I,0
"The only thing Facebook does well, is cause shit and promote cyber bullying.",0
Frio é bullying contra os solteiros..,0
› Meninos do Tumblr são assim: › › Meninas do Tumblr são assim: › › E eu sou assim: › › Isso é bullying. http://t.co/dr0Yql4,0
"@AMohedin Even Pickthall, who is an Englishman, was a Muslim convert.",0
@daimau5 Your boy gianluca toni was class another big 6ft 5 lunk,0
"Mum; You need a college bad not a handbag. Me; But mommmmmmm, it's phinkkk :&lt;",0
"serio, falsidade é bullying",0
I really wish i could graduate already and go to college to get away from my siblings.... Sick of all of this!!!!!!!,0
I knew Nikki reminded me of someone. #mkr http://t.co/yWjMAyphJm,0
Best Bully Sticks Spotlight on a Breed: We Honor Maddie the American Eskimo: We always love getting emails from ... http://bit.ly/rlUS4m,0
COLÉGIOS ADVENTISTAS DE SÃO PAULO DISCUTEM O BULLYING - BOM DIA SÃO PAULO http://t.co/YyfPou0,0
pratico bullying para ser aceito socialmente,0
@Kaya786 @fai3an_H And I don't walk in circles around a black meteor in Mecca under the delusion that it will please god.,0
@RealandIllusory = ranting idiot.,0
